1 2 3 
4 5 6 
7 8 9 
1 4 7 
2 5 8 
3 6 9 
2 6 10 
6 10 14 
10 14 18 
3613440231618123943461426815998834616982516673647449191217450369892159276 -69150245589641590122836469642260866091330912166154233272409562034232 -359621125797851174386138146054183616207545138830414350787691630431032152 
903360057904530985865356703999786542456291684118622978435125924733975690 -17287561397410397530709117410565216522832728041537605831812395085580 -899052814494627935965345365135459040518862847076358769692297607758380 
1445376092647249577384577263995338467936669458979676486962014795686361104 -276600982358566360491345878569434643653236486646016933089638248136928 -14384845031914046975445525842167344648301805553216574315766521724128608 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
-18866234834831171881594681351072372126 -18866234834831171881594681351072372126 -18866234834831171881594681351072372126 
-6034499729729730714682427676635631071 -6034499729729730714682427676635631071 -6034499729729730714682427676635631071 
-521920469829634353930804773866633669329 -521920469829634353930804773866633669329 -521920469829634353930804773866633669329 
-1135166981981948162486481948157626951349 -1135166981981948162486481948157626951349 -1135166981981948162486481948157626951349 
-178460833493295194542423918262918898134 -178460833493295194542423918262918898134 -178460833493295194542423918262918898134 
-2286466999733447171043 -2286466999733447171043 -2286466999733447171043 
151760274160208275602174129416110695615380206730783452159559488763538863634882360 8702956680409764767486207429323098616539570324622125494791808801128661449641840 797026048288456966396649230887003753879235704310848596270086590 
67343572237859781132473269265893708890465319440077924219190338088065616164365140 696154992418818644514509486578778756769348543139998398021281106301879411408240 1213664485813624818811373298530577096112760775550870145068335 
5735175596389692559004253140753525664182376561201108486334250242570047605353185 6957482058760936762636838054501142846788212202374854113036269227361059252030 8661514852593113961757769540315611007839325945802730152685162170 
311827846846776884314545278676368705111 1149591495795795805645509260618767747589 987375454814618852420603272316483519181 
254159198198158265665296663356855888626 65954349609609610594581372161290195732 578385954674284202826389397298765834317 
1886623483483117252851453129670286779 6034499729729731699747412262648458978 521920469829634360478026425851285323836 
-589489519519803300 6573134974933 652339636306335 
1151629811711681 652363392763059 -65158696957667 
551629824030 29032448381 6547216818316 
719819849850133630 -1786900518618589 541299492898 
6519961922003 -6509970299669967 140265481407 
-650969666996967 651716216266975 6545913504986 
-699499855298533807646629114036331705534016881671766214906677624279349365 291110265409917113186852679336303138539120251369409515133462155321 6960089718807360381448362778470687449696194459042162113895211085099 
-2974080737795998340085019647364074979428514007291149053009457503479713037 535631165427971278788468342127485466488899621574259560871935341 295993342331675728187286815803593163771807697627663539348224066277049 
-373210779482216235834998012723775681316633300275819767 7122410919487934849353332715572036111626631583168 30584251082713345947776053882889886019916973802483863 
